Date,County,Labor Force,Employed,Unemployed,Unemployment Rate (%),Adjustment Status
January 1990,Livingston,61308,57760,3548,5.8,NSA
February 1990,Livingston,62186,58606,3580,5.8,NSA
March 1990,Livingston,62447,58759,3688,5.9,NSA
April 1990,Livingston,61341,57940,3401,5.5,NSA
May 1990,Livingston,60997,57835,3162,5.2,NSA
June 1990,Livingston,61278,57933,3345,5.5,NSA
July 1990,Livingston,60059,56407,3652,6.1,NSA
August 1990,Livingston,59918,56291,3627,6.1,NSA
September 1990,Livingston,61855,58326,3529,5.7,NSA
October 1990,Livingston,62126,58509,3617,5.8,NSA
November 1990,Livingston,62193,58939,3254,5.2,NSA
December 1990,Livingston,62873,58862,4011,6.4,NSA
January 1991,Livingston,62709,58272,4437,7.1,NSA
February 1991,Livingston,63934,59108,4826,7.5,NSA
March 1991,Livingston,64237,59328,4909,7.6,NSA
April 1991,Livingston,62709,58362,4347,6.9,NSA
May 1991,Livingston,62346,57796,4550,7.3,NSA
June 1991,Livingston,62782,57980,4802,7.6,NSA
July 1991,Livingston,62268,57740,4528,7.3,NSA
August 1991,Livingston,61838,57357,4481,7.2,NSA
September 1991,Livingston,63447,59162,4285,6.8,NSA
October 1991,Livingston,64891,60363,4528,7,NSA
November 1991,Livingston,64889,60034,4855,7.5,NSA
December 1991,Livingston,64238,59589,4649,7.2,NSA
January 1992,Livingston,67394,62132,5262,7.8,NSA
February 1992,Livingston,68067,62616,5451,8,NSA
March 1992,Livingston,68201,62819,5382,7.9,NSA
April 1992,Livingston,67241,62659,4582,6.8,NSA
May 1992,Livingston,66425,62074,4351,6.6,NSA
June 1992,Livingston,66955,62562,4393,6.6,NSA
July 1992,Livingston,66766,62869,3897,5.8,NSA
August 1992,Livingston,66529,62624,3905,5.9,NSA
September 1992,Livingston,65932,62443,3489,5.3,NSA
October 1992,Livingston,66786,63612,3174,4.8,NSA
November 1992,Livingston,67879,64836,3043,4.5,NSA
December 1992,Livingston,67954,64749,3205,4.7,NSA
January 1993,Livingston,67156,63477,3679,5.5,NSA
February 1993,Livingston,67970,64391,3579,5.3,NSA
March 1993,Livingston,67311,64039,3272,4.9,NSA
April 1993,Livingston,67400,64473,2927,4.3,NSA
May 1993,Livingston,66295,63591,2704,4.1,NSA
June 1993,Livingston,66981,64251,2730,4.1,NSA
July 1993,Livingston,66844,64046,2798,4.2,NSA
August 1993,Livingston,66408,63780,2628,4,NSA
September 1993,Livingston,66798,64225,2573,3.9,NSA
October 1993,Livingston,68353,65690,2663,3.9,NSA
November 1993,Livingston,68306,65503,2803,4.1,NSA
December 1993,Livingston,68157,65249,2908,4.3,NSA
January 1994,Livingston,69687,65565,4122,5.9,NSA
February 1994,Livingston,70307,66244,4063,5.8,NSA
March 1994,Livingston,69483,65759,3724,5.4,NSA
April 1994,Livingston,68550,65909,2641,3.9,NSA
May 1994,Livingston,67494,65261,2233,3.3,NSA
June 1994,Livingston,68126,65724,2402,3.5,NSA
July 1994,Livingston,68167,65660,2507,3.7,NSA
August 1994,Livingston,68119,65707,2412,3.5,NSA
September 1994,Livingston,68705,66571,2134,3.1,NSA
October 1994,Livingston,69922,67998,1924,2.8,NSA
November 1994,Livingston,69525,67834,1691,2.4,NSA
December 1994,Livingston,69605,67849,1756,2.5,NSA
January 1995,Livingston,69573,66767,2806,4,NSA
February 1995,Livingston,70567,67806,2761,3.9,NSA
March 1995,Livingston,70947,67961,2986,4.2,NSA
April 1995,Livingston,70135,67681,2454,3.5,NSA
May 1995,Livingston,68812,66570,2242,3.3,NSA
June 1995,Livingston,70488,67307,3181,4.5,NSA
July 1995,Livingston,71214,68579,2635,3.7,NSA
August 1995,Livingston,70064,67812,2252,3.2,NSA
September 1995,Livingston,70362,68480,1882,2.7,NSA
October 1995,Livingston,71076,69427,1649,2.3,NSA
November 1995,Livingston,71237,68851,2386,3.3,NSA
December 1995,Livingston,71079,68925,2154,3,NSA
January 1996,Livingston,71027,68159,2868,4,NSA
February 1996,Livingston,73590,70362,3228,4.4,NSA
March 1996,Livingston,74421,71548,2873,3.9,NSA
April 1996,Livingston,72694,70489,2205,3,NSA
May 1996,Livingston,71585,69631,1954,2.7,NSA
June 1996,Livingston,72706,70590,2116,2.9,NSA
July 1996,Livingston,73620,70977,2643,3.6,NSA
August 1996,Livingston,72987,70339,2648,3.6,NSA
September 1996,Livingston,73101,70813,2288,3.1,NSA
October 1996,Livingston,73859,71577,2282,3.1,NSA
November 1996,Livingston,73592,71554,2038,2.8,NSA
December 1996,Livingston,73525,71358,2167,2.9,NSA
January 1997,Livingston,73995,70453,3542,4.8,NSA
February 1997,Livingston,74179,71111,3068,4.1,NSA
March 1997,Livingston,74482,71451,3031,4.1,NSA
April 1997,Livingston,73675,71420,2255,3.1,NSA
